invoice_id,customer_id,invoice_date,invoice_amount,tax,discount,net_amount
INV0000071,CUST002985,2026-08-14,34078.35,5001.75,3178.47,35901.63
INV0000072,CUST004536,2026-08-27,12822.83,974.13,1019.67,12777.29
INV0000073,CUST005075,2026-08-26,54122.8,6633.48,978.37,59777.91
INV0000074,CUST007906,2026-08-11,61505.04,3885.59,708.15,64682.48
INV0000075,CUST002349,2026-08-07,17864.98,3102.22,98.4,20868.8
INV0000076,CUST008232,2026-08-09,5096.61,691.25,96.69,5691.17
INV0000077,CUST006139,2026-08-05,17893.13,2879.49,231.42,20541.2
INV0000078,CUST003224,2026-08-24,49408.5,8335.46,4562.13,53181.83
INV0000079,CUST004580,2026-08-17,40196.82,6935.21,2246.52,44885.51
INV0000080,CUST002597,2026-08-19,63349.64,9387.89,3101.13,69636.4
INV0000081,CUST002657,2026-08-13,29462.28,3177.45,1933.2,30706.53
INV0000082,CUST003770,2026-08-05,50440.95,7940.62,2944.9,55436.67
INV0000083,CUST000080,2026-08-18,14681.17,2624.84,1127.97,16178.04
INV0000084,CUST009252,2026-08-05,14767.67,2401.36,397.78,16771.25
INV0000085,CUST000252,2026-08-28,99624.89,9413.59,5425.01,103613.47
INV0000086,CUST007055,2026-08-26,63175.15,8192.93,4298.99,67069.09
INV0000087,CUST000770,2026-08-28,16653.9,2494.04,1156.75,17991.19
INV0000088,CUST003706,2026-08-23,32328.64,2829.07,1849.85,33307.86
INV0000089,CUST003945,2026-08-31,10212.79,1767.04,926.23,11053.6
INV0000090,CUST001177,2026-08-04,73838.29,9019.66,4622.78,78235.17
INV0000091,CUST002529,2026-08-13,95706.97,6160.44,548.6,101318.81
INV0000092,CUST007785,2026-08-20,60338.99,3564.64,1405.86,62497.77
INV0000093,CUST002969,2026-08-29,15489.08,2369.75,567.13,17291.7
INV0000094,CUST005858,2026-08-09,85911.23,6654.25,8082.77,84482.71
INV0000095,CUST002879,2026-08-11,99455.41,16581.39,1694.35,114342.45
INV0000096,CUST005652,2026-08-19,45213.85,5014.68,3307.09,46921.44
INV0000097,CUST009758,2026-08-25,27671.95,1856.07,1176.67,28351.35
INV0000098,CUST009820,2026-08-04,72099.97,7817.17,2625.45,77291.69
INV0000099,CUST003722,2026-08-17,17742.54,1406.01,723.97,18424.58
INV0000100,CUST004611,2026-08-29,3270.58,198.5,225.91,3243.17
INV0000101,CUST000316,2026-08-18,76002.62,8847.52,3925.78,80924.36
INV0000102,CUST000904,2026-08-12,73166.14,9077.87,4912.97,77331.04
INV0000103,CUST004591,2026-08-27,95571.13,16380.24,8708.33,103243.04
INV0000104,CUST004861,2026-08-14,93317.1,15065.0,698.02,107684.08
INV0000105,CUST002487,2026-08-24,51446.19,2821.82,4049.1,50218.91
INV0000106,CUST006339,2026-08-27,56614.41,5454.88,2219.94,59849.35
INV0000107,CUST004165,2026-08-09,46761.79,5445.83,2050.61,50157.01
INV0000108,CUST003487,2026-08-10,92095.47,12272.23,7625.55,96742.15
INV0000109,CUST002674,2026-08-29,2353.81,355.54,231.54,2477.81
INV0000110,CUST005258,2026-08-22,5078.71,629.45,230.31,5477.85
INV0000111,CUST008370,2026-08-30,54740.73,2820.3,86.67,57474.36
INV0000112,CUST000460,2026-08-06,33722.36,1732.48,1323.55,34131.29
INV0000113,CUST001293,2026-08-18,26302.1,3763.9,2079.91,27986.09
INV0000114,CUST005608,2026-08-19,46013.98,6385.77,2412.54,49987.21
INV0000115,CUST009702,2026-08-21,45287.43,5696.98,1514.68,49469.73
INV0000116,CUST004388,2026-08-17,80062.92,11536.16,7486.81,84112.27
INV0000117,CUST009358,2026-08-28,28634.58,2650.14,2845.61,28439.11
INV0000118,CUST003866,2026-08-07,7404.14,1009.02,132.3,8280.86
INV0000119,CUST006967,2026-08-19,23533.25,3508.59,814.18,26227.66
INV0000120,CUST003079,2026-08-02,11952.65,1960.83,942.1,12971.38
INV0000121,CUST004479,2026-08-12,35440.38,2900.61,2426.27,35914.72
INV0000122,CUST000294,2026-08-14,6753.38,957.5,252.8,7458.08
INV0000123,CUST003234,2026-08-20,64158.28,7919.64,4931.87,67146.05
INV0000124,CUST008936,2026-08-07,27089.34,3611.11,1077.82,29622.63
INV0000125,CUST001756,2026-08-09,52085.58,5190.78,4418.99,52857.37
INV0000126,CUST004516,2026-08-24,65013.19,11686.33,329.69,76369.83
INV0000127,CUST006533,2026-08-23,95507.63,12322.98,1354.67,106475.94
INV0000128,CUST002906,2026-08-15,51662.38,7969.48,535.35,59096.51
INV0000129,CUST004361,2026-08-04,63006.65,9229.36,5361.28,66874.73
INV0000130,CUST001189,2026-08-21,99096.4,14292.9,9658.74,103730.56
INV0000131,CUST005815,2026-08-24,82308.21,9249.3,7816.66,83740.85
INV0000132,CUST009319,2026-08-02,87642.63,7018.48,1696.94,92964.17
INV0000133,CUST003746,2026-08-06,52687.84,7410.93,4270.31,55828.46
INV0000134,CUST006671,2026-08-27,83111.78,5166.26,7767.3,80510.74
INV0000135,CUST005192,2026-08-14,78397.31,13205.81,1795.56,89807.56
INV0000136,CUST002261,2026-08-17,92300.1,12171.04,807.48,103663.66
INV0000137,CUST000633,2026-08-04,47939.83,8285.47,1722.0,54503.3
INV0000138,CUST009876,2026-08-11,67283.1,7912.57,372.35,74823.32
INV0000139,CUST008037,2026-08-16,71443.55,4036.13,5014.61,70465.07
INV0000140,CUST004841,2026-08-19,86353.14,13142.26,97.17,99398.23
INV0000141,CUST007639,2026-08-14,93013.77,8100.02,6509.83,94603.96
INV0000142,CUST003702,2026-08-12,1433.34,178.85,98.24,1513.95
INV0000143,CUST001718,2026-08-08,83866.1,5337.96,1717.62,87486.44
INV0000144,CUST009571,2026-08-26,39409.06,3336.14,2555.46,40189.74
INV0000145,CUST007311,2026-08-05,84451.83,10149.71,4582.21,90019.33
INV0000146,CUST006098,2026-08-12,94821.73,11258.43,4331.35,101748.81
INV0000147,CUST009981,2026-08-18,14721.99,1672.6,726.71,15667.88
INV0000148,CUST005132,2026-08-01,71945.67,7615.51,4762.78,74798.4
INV0000149,CUST001814,2026-08-17,93130.86,10546.88,2449.99,101227.75
INV0000150,CUST008222,2026-08-06,41266.13,2451.05,3396.99,40320.19
INV0000151,CUST004362,2026-08-12,32848.07,2199.69,3021.93,32025.83
INV0000152,CUST001667,2026-08-25,80062.6,11833.49,854.57,91041.52
INV0000153,CUST004608,2026-08-15,62058.68,5464.87,237.47,67286.08
INV0000154,CUST002329,2026-08-17,51848.87,7923.83,3752.19,56020.51
INV0000155,CUST000773,2026-08-18,4408.92,509.42,121.75,4796.59
INV0000156,CUST003661,2026-08-31,29517.71,5184.62,253.2,34449.13
INV0000157,CUST003218,2026-08-23,11133.82,1873.34,1011.25,11995.91
INV0000158,CUST008160,2026-08-26,76171.0,5425.63,796.42,80800.21
INV0000159,CUST004004,2026-08-14,45241.77,3995.21,109.43,49127.55
INV0000160,CUST006127,2026-08-25,52856.78,4522.43,605.62,56773.59
INV0000161,CUST004634,2026-08-06,97394.42,7294.55,5240.35,99448.62
INV0000162,CUST004743,2026-08-20,28305.98,3430.13,1895.61,29840.5
INV0000163,CUST003641,2026-08-14,17358.61,2139.09,1197.95,18299.75
INV0000164,CUST007559,2026-08-20,32252.37,5031.9,523.59,36760.68
INV0000165,CUST001853,2026-08-16,64567.88,8838.38,3282.72,70123.54
INV0000166,CUST009237,2026-08-11,87368.35,5960.51,4408.75,88920.11
INV0000167,CUST006269,2026-08-23,50904.76,7168.2,3490.56,54582.4
INV0000168,CUST003440,2026-08-19,4776.26,312.03,359.71,4728.58
INV0000169,CUST003604,2026-08-07,25146.33,1818.23,2036.01,24928.55
INV0000170,CUST006196,2026-08-08,65338.09,3629.58,479.1,68488.57
INV0000171,CUST003487,2026-08-02,47336.47,5526.76,216.21,52647.02
INV0000172,CUST002056,2026-08-10,84404.44,4420.34,6026.08,82798.7
INV0000173,CUST008603,2026-08-07,82401.66,4891.07,3906.71,83386.02
INV0000174,CUST002989,2026-08-27,45196.46,4284.02,3639.12,45841.36
INV0000175,CUST008643,2026-08-31,79267.37,11299.15,1305.17,89261.35
INV0000176,CUST009529,2026-08-14,56279.05,4031.8,4922.91,55387.94
INV0000177,CUST008519,2026-08-17,83406.32,6987.94,1178.92,89215.34
INV0000178,CUST000399,2026-08-26,36265.87,3435.97,616.41,39085.43
INV0000179,CUST001152,2026-08-30,84984.31,8771.41,1528.73,92226.99
INV0000180,CUST004460,2026-08-19,69295.69,10106.9,4942.26,74460.33
INV0000181,CUST003709,2026-08-31,19920.98,2894.71,210.49,22605.2
INV0000182,CUST004637,2026-08-30,95277.22,12859.52,8816.44,99320.3
INV0000183,CUST001883,2026-08-25,89820.74,5070.25,5144.02,89746.97
INV0000184,CUST000333,2026-08-15,12261.66,2081.28,748.99,13593.95
INV0000185,CUST007256,2026-08-09,65986.91,9189.59,1549.1,73627.4
INV0000186,CUST003292,2026-08-16,89768.61,8648.29,3905.44,94511.46
INV0000187,CUST007366,2026-08-26,47169.85,2367.92,3681.08,45856.69
INV0000188,CUST006501,2026-08-15,84864.14,12184.78,4212.13,92836.79
INV0000189,CUST006569,2026-08-02,42395.94,5521.85,1573.96,46343.83
INV0000190,CUST007267,2026-08-08,9701.95,506.31,242.09,9966.17
INV0000191,CUST006217,2026-08-04,24112.5,1987.98,75.17,26025.31
INV0000192,CUST002465,2026-08-06,29738.26,5112.46,2403.45,32447.27
INV0000193,CUST008778,2026-08-24,15827.52,805.11,1058.04,15574.59
INV0000194,CUST009352,2026-08-26,51511.62,8121.07,2143.03,57489.66
INV0000195,CUST008248,2026-08-03,2912.07,193.41,20.96,3084.52
INV0000196,CUST007616,2026-08-30,20928.65,1829.0,1215.83,21541.82
INV0000197,CUST006443,2026-08-09,26113.4,2412.89,84.13,28442.16
INV0000198,CUST008341,2026-08-11,90383.19,13491.06,1668.09,102206.16
INV0000199,CUST009276,2026-08-07,11032.56,1195.43,1042.68,11185.31
INV0000200,CUST008810,2026-08-14,2773.18,314.14,109.59,2977.73
INV0000201,CUST007813,2026-08-21,94463.74,7876.37,6425.92,95914.19
INV0000202,CUST007823,2026-08-14,57590.18,3426.89,4847.39,56169.68
INV0000203,CUST001250,2026-08-31,24227.03,3845.76,1804.2,26268.59
INV0000204,CUST009847,2026-08-30,15735.01,1069.49,1419.1,15385.4
INV0000205,CUST000790,2026-08-21,45264.94,3665.1,2102.72,46827.32
INV0000206,CUST001817,2026-08-26,67272.27,11493.52,4714.89,74050.9
INV0000207,CUST000482,2026-08-26,79528.66,12661.68,7459.21,84731.13
INV0000208,CUST000268,2026-08-23,70965.5,11883.22,2836.28,80012.44
INV0000209,CUST004793,2026-08-23,88987.6,14181.36,3886.04,99282.92
INV0000210,CUST008643,2026-08-13,12089.02,2086.81,1139.22,13036.61
INV0000211,CUST007426,2026-08-10,40073.19,3294.27,1640.23,41727.23
INV0000212,CUST003128,2026-08-03,23505.52,2831.63,31.29,26305.86
INV0000213,CUST005356,2026-08-22,50103.23,5744.91,1627.53,54220.61
INV0000214,CUST006265,2026-08-08,60699.9,9405.08,518.41,69586.57
INV0000215,CUST006520,2026-08-21,2077.84,161.3,179.45,2059.69
INV0000216,CUST000577,2026-08-31,80529.88,4812.88,6020.02,79322.74
INV0000217,CUST000573,2026-08-17,8714.86,938.87,616.17,9037.56
INV0000218,CUST003349,2026-08-09,89174.36,13004.4,4178.28,98000.48
INV0000219,CUST008630,2026-08-11,47811.5,3998.5,2840.01,48969.99
INV0000220,CUST006563,2026-08-08,99524.91,15847.91,6855.27,108517.55
INV0000221,CUST002333,2026-08-27,75186.32,12589.17,3920.72,83854.77
INV0000222,CUST004607,2026-08-04,99281.16,13016.51,1341.62,110956.05
INV0000223,CUST005700,2026-08-20,16053.91,2230.48,120.51,18163.88
INV0000224,CUST003541,2026-08-02,58590.32,10033.96,834.24,67790.04
INV0000225,CUST005306,2026-08-31,36605.41,4080.87,155.14,40531.14
INV0000226,CUST003273,2026-08-25,77558.27,8902.57,6260.65,80200.19
INV0000227,CUST002817,2026-08-21,46825.95,5433.11,1042.62,51216.44
INV0000228,CUST004653,2026-08-15,42232.94,3391.52,3850.53,41773.93
INV0000229,CUST009195,2026-08-03,13542.77,1079.03,464.41,14157.39
INV0000230,CUST006698,2026-08-01,84957.84,12876.88,4754.79,93079.93
INV0000231,CUST007406,2026-08-25,18946.48,1375.31,258.37,20063.42
INV0000232,CUST005547,2026-08-08,34493.65,3033.68,2152.58,35374.75
INV0000233,CUST003746,2026-08-28,44546.87,7595.59,1630.6,50511.86
INV0000234,CUST008747,2026-08-18,18222.61,2115.21,1098.66,19239.16
INV0000235,CUST002367,2026-08-07,5590.15,552.44,95.84,6046.75
INV0000236,CUST001583,2026-08-15,43366.66,7351.74,388.15,50330.25
INV0000237,CUST003035,2026-08-31,23256.71,2379.92,2057.64,23578.99
INV0000238,CUST005316,2026-08-12,36566.91,5501.93,2446.74,39622.1
INV0000239,CUST002128,2026-08-03,89230.01,13094.47,435.56,101888.92
INV0000240,CUST001370,2026-08-24,52853.51,8734.81,1706.86,59881.46
INV0000241,CUST006810,2026-08-08,2845.24,223.45,283.64,2785.05
INV0000242,CUST009047,2026-08-31,22829.11,1633.3,1228.52,23233.89
INV0000243,CUST005977,2026-08-22,86925.06,12748.29,3695.35,95978.0
INV0000244,CUST006738,2026-08-13,63869.55,3466.68,2792.17,64544.06
INV0000245,CUST008955,2026-08-31,30795.44,2535.42,85.95,33244.91
INV0000246,CUST001957,2026-08-12,32912.03,1740.6,2232.88,32419.75
INV0000247,CUST009053,2026-08-17,76691.35,13261.33,947.53,89005.15
INV0000248,CUST004014,2026-08-14,17370.43,1142.98,316.46,18196.95
INV0000249,CUST002661,2026-08-06,70573.11,5412.54,6821.05,69164.6
INV0000250,CUST005035,2026-08-16,20128.66,3057.61,1505.37,21680.9
INV0000251,CUST000789,2026-08-03,5512.68,280.49,405.17,5388.0
INV0000252,CUST005029,2026-08-20,2669.63,442.66,240.01,2872.28
INV0000253,CUST004762,2026-08-28,98419.07,13189.33,3794.31,107814.09
INV0000254,CUST000133,2026-08-23,88320.61,7747.19,2905.42,93162.38
INV0000255,CUST008037,2026-08-23,82129.69,12502.4,3241.01,91391.08
INV0000256,CUST007870,2026-08-10,5022.69,593.09,288.81,5326.97
INV0000257,CUST002751,2026-08-31,67731.72,9432.55,777.5,76386.77
INV0000258,CUST008098,2026-08-27,30636.89,4962.78,730.86,34868.81
INV0000259,CUST003759,2026-08-10,38628.21,4465.71,2910.47,40183.45
INV0000260,CUST008508,2026-08-09,66424.67,8450.31,1920.73,72954.25
INV0000261,CUST006700,2026-08-17,67354.09,10684.76,1194.62,76844.23
INV0000262,CUST005394,2026-08-08,42729.44,3661.49,3886.4,42504.53
INV0000263,CUST001725,2026-08-01,55902.36,4235.51,2483.1,57654.77
INV0000264,CUST008126,2026-08-13,42626.66,3895.71,610.54,45911.83
INV0000265,CUST007810,2026-08-22,29697.06,1893.55,1890.97,29699.64
INV0000266,CUST004723,2026-08-12,2184.62,241.83,125.7,2300.75
INV0000267,CUST000146,2026-08-06,63492.4,7600.48,1892.77,69200.11
INV0000268,CUST008375,2026-08-06,6658.08,564.19,14.76,7207.51
INV0000269,CUST003999,2026-08-24,77255.0,8286.62,384.75,85156.87
INV0000270,CUST007626,2026-08-01,36998.43,4321.05,911.41,40408.07
INV0000271,CUST004394,2026-08-27,53664.61,8710.67,1888.7,60486.58
INV0000272,CUST003985,2026-08-03,22449.83,1691.8,57.39,24084.24
INV0000273,CUST001441,2026-08-18,37131.39,5849.4,230.54,42750.25
INV0000274,CUST002518,2026-08-15,56843.38,6850.75,273.14,63420.99
INV0000275,CUST002255,2026-08-22,5322.67,587.9,268.47,5642.1
INV0000276,CUST004318,2026-08-29,58045.0,7535.09,1599.4,63980.69
INV0000277,CUST001593,2026-08-06,62908.05,9204.57,3042.11,69070.51
INV0000278,CUST008279,2026-08-22,81993.21,8520.35,120.87,90392.69
INV0000279,CUST003075,2026-08-31,36459.54,3774.62,51.4,40182.76
INV0000280,CUST008636,2026-08-29,32061.96,2084.47,1481.66,32664.77
INV0000281,CUST006301,2026-08-30,58957.5,8069.1,5802.28,61224.32
INV0000282,CUST004159,2026-08-14,39378.05,4718.32,599.48,43496.89
INV0000283,CUST008357,2026-08-04,79810.08,9208.26,3469.81,85548.53
INV0000284,CUST001584,2026-08-08,87379.18,11697.92,7157.92,91919.18
INV0000285,CUST001147,2026-08-02,64334.58,7265.5,2781.7,68818.38
INV0000286,CUST008796,2026-08-04,57068.6,8726.32,369.29,65425.63
INV0000287,CUST007341,2026-08-03,64911.83,9404.86,4106.29,70210.4
INV0000288,CUST007234,2026-08-28,84964.19,13455.17,8271.97,90147.39
INV0000289,CUST007163,2026-08-21,72700.27,8943.9,3524.66,78119.51
INV0000290,CUST009685,2026-08-06,11041.89,1718.85,483.47,12277.27
INV0000291,CUST007472,2026-08-26,95663.37,8263.37,5562.59,98364.15
INV0000292,CUST002441,2026-08-25,8356.39,1067.33,377.88,9045.84
INV0000293,CUST006655,2026-08-26,21416.28,3354.7,1485.59,23285.39
INV0000294,CUST002687,2026-08-29,64992.67,9015.87,5923.43,68085.11
INV0000295,CUST001133,2026-08-21,5716.51,735.39,224.76,6227.14
INV0000296,CUST008795,2026-08-20,33154.84,2772.13,2588.43,33338.54
INV0000297,CUST005244,2026-08-03,76023.52,12134.07,2058.36,86099.23
INV0000298,CUST005472,2026-08-19,8787.01,631.55,369.81,9048.75
INV0000299,CUST009083,2026-08-31,75618.1,11358.06,1222.93,85753.23
INV0000300,CUST005808,2026-08-15,60787.89,10683.66,1731.18,69740.37
INV0000301,CUST000379,2026-08-12,39355.52,5312.81,2544.28,42124.05
INV0000302,CUST007556,2026-08-21,58026.82,7130.3,208.13,64948.99
INV0000303,CUST006323,2026-08-01,34048.16,2154.5,1662.01,34540.65
INV0000304,CUST008385,2026-08-25,83750.96,13073.33,2406.91,94417.38
INV0000305,CUST001435,2026-08-01,20026.74,1397.77,1382.83,20041.68
INV0000306,CUST005801,2026-08-29,23267.86,3235.48,1892.95,24610.39
INV0000307,CUST004916,2026-08-29,20937.73,2721.34,281.77,23377.3
INV0000308,CUST003101,2026-08-09,72920.48,12954.48,130.53,85744.43
INV0000309,CUST008827,2026-08-18,52843.69,3372.39,4683.74,51532.34
INV0000310,CUST002105,2026-08-05,24407.5,4142.56,1462.34,27087.72
INV0000311,CUST008452,2026-08-22,59281.62,7753.13,5207.89,61826.86
INV0000312,CUST007051,2026-08-07,77780.69,13804.97,1897.9,89687.76
INV0000313,CUST001380,2026-08-01,77963.51,7344.13,2971.61,82336.03
INV0000314,CUST002087,2026-08-12,3705.99,477.14,127.4,4055.73
INV0000315,CUST007782,2026-08-26,91167.2,7124.72,3144.24,95147.68
INV0000316,CUST006989,2026-08-05,10734.67,1882.32,131.57,12485.42
INV0000317,CUST002696,2026-08-03,50168.37,4921.65,911.62,54178.4
INV0000318,CUST000814,2026-08-27,24766.1,1746.91,2167.75,24345.26
INV0000319,CUST002805,2026-08-06,87223.09,15679.09,4770.73,98131.45
INV0000320,CUST005179,2026-08-21,22133.42,2364.67,2020.68,22477.41
INV0000321,CUST002772,2026-08-08,7734.91,1319.37,60.83,8993.45
INV0000322,CUST009331,2026-08-12,59121.51,6898.87,979.65,65040.73
INV0000323,CUST008209,2026-08-13,17904.35,2845.26,258.22,20491.39
INV0000324,CUST002352,2026-08-01,39773.31,4768.96,1374.56,43167.71
INV0000325,CUST003635,2026-08-09,47502.84,5626.8,729.58,52400.06
INV0000326,CUST003196,2026-08-16,18973.88,1489.35,502.4,19960.83
INV0000327,CUST002776,2026-08-23,77100.29,6390.65,6925.24,76565.7
INV0000328,CUST008982,2026-08-30,94352.76,11264.06,5547.51,100069.31
INV0000329,CUST009175,2026-08-11,61645.82,5144.51,2665.5,64124.83
INV0000330,CUST003824,2026-08-05,47535.65,2429.21,675.05,49289.81
INV0000331,CUST004637,2026-08-12,75648.73,6712.98,6828.43,75533.28
INV0000332,CUST006946,2026-08-14,60222.56,8205.86,5025.68,63402.74
INV0000333,CUST000702,2026-08-09,53227.5,9531.91,5136.63,57622.78
INV0000334,CUST005978,2026-08-04,59690.82,4421.49,542.24,63570.07
INV0000335,CUST006911,2026-08-15,93343.82,7913.17,3399.93,97857.06
INV0000336,CUST000900,2026-08-31,47660.61,4109.18,3654.32,48115.47
INV0000337,CUST000778,2026-08-20,28764.94,1822.61,1326.34,29261.21
INV0000338,CUST007864,2026-08-26,13962.5,2060.8,799.35,15223.95
INV0000339,CUST003332,2026-08-08,99963.87,5235.02,4066.06,101132.83
INV0000340,CUST009168,2026-08-16,60626.03,5521.99,3664.48,62483.54
INV0000341,CUST009053,2026-08-09,78569.68,11247.59,7118.08,82699.19
INV0000342,CUST000175,2026-08-25,56948.07,5429.65,1393.91,60983.81
INV0000343,CUST004858,2026-08-18,34574.98,2833.22,325.88,37082.32
INV0000344,CUST000706,2026-08-31,10439.47,869.6,438.07,10871.0
INV0000345,CUST001373,2026-08-09,26732.22,2573.14,1374.79,27930.57
INV0000346,CUST003964,2026-08-20,95694.98,9328.03,1565.82,103457.19
INV0000347,CUST009140,2026-08-18,96274.3,16688.49,8683.1,104279.69
INV0000348,CUST002997,2026-08-15,34355.46,2798.29,420.62,36733.13
INV0000349,CUST001661,2026-08-07,66073.45,11048.55,5896.45,71225.55
INV0000350,CUST009225,2026-08-26,15344.13,830.43,482.56,15692.0
INV0000351,CUST005288,2026-08-01,84829.88,9401.77,4567.9,89663.75
INV0000352,CUST002134,2026-08-29,62391.14,3647.96,175.54,65863.56
INV0000353,CUST004576,2026-08-05,91501.9,13360.68,3565.27,101297.31
INV0000354,CUST007242,2026-08-20,47861.41,3897.87,3247.7,48511.58
INV0000355,CUST007418,2026-08-21,80356.33,13275.94,1264.37,92367.9
INV0000356,CUST007136,2026-08-11,9064.38,1596.15,623.35,10037.18
INV0000357,CUST000140,2026-08-17,20176.4,2483.28,1301.6,21358.08
INV0000358,CUST004953,2026-08-13,10583.15,970.95,187.85,11366.25
INV0000359,CUST005284,2026-08-29,81561.5,8176.98,88.83,89649.65
INV0000360,CUST002324,2026-08-14,65307.33,10799.82,3528.44,72578.71
INV0000361,CUST004421,2026-08-02,49104.36,6221.11,1207.38,54118.09
