store_id,exceptions,financial_exposure,average_impact
STORE087,12,102276.27,8523.022500000001
STORE055,17,101271.78,5957.163529411765
STORE230,18,100553.34,5586.296666666666
STORE179,8,100520.45999999999,12565.057499999999
STORE226,22,100089.89,4549.540454545455
STORE149,17,100032.37,5884.257058823529
STORE163,11,99656.2,9059.654545454545
STORE023,13,98593.37,7584.1053846153845
STORE131,14,98399.82,7028.558571428572
STORE173,19,98380.68,5177.930526315789
STORE091,9,97638.91,10848.767777777779
STORE201,19,97325.83,5122.412105263158
STORE002,18,95756.86,5319.825555555555
STORE025,8,95539.95,11942.49375
STORE205,16,95222.75,5951.421875
STORE003,12,94681.31999999999,7890.11
STORE150,12,94577.94,7881.495
STORE033,10,94183.92,9418.392
STORE030,14,94126.73,6723.337857142857
STORE099,15,93802.01,6253.467333333333
STORE208,14,93517.48999999999,6679.820714285714
STORE039,13,93272.23999999999,7174.787692307692
STORE143,12,92933.04000000001,7744.420000000001
STORE209,16,91710.97,5731.935625
STORE213,20,89712.44,4485.622
STORE170,19,89637.77,4717.777368421052
STORE177,8,89322.20999999999,11165.276249999999
STORE126,14,88634.78,6331.055714285714
STORE244,18,88342.56,4907.92
STORE195,18,88090.37999999999,4893.91
STORE076,11,88068.02,8006.183636363637
STORE089,17,85663.19,5039.011176470588
STORE108,11,85399.49,7763.59
STORE029,19,85182.56,4483.292631578947
STORE128,12,84786.99,7065.5825
STORE046,19,84254.65,4434.4552631578945
STORE086,12,84064.45,7005.370833333333
STORE158,12,83871.36,6989.28
STORE239,13,83730.79,6440.83
STORE060,11,83653.69,7604.880909090909
STORE116,10,82854.01000000001,8285.401000000002
STORE026,12,81838.92,6819.91
STORE012,12,81588.84,6799.07
STORE194,14,80841.34,5774.381428571428
STORE140,10,80491.81,8049.181
STORE146,11,80227.36,7293.396363636363
STORE078,10,79869.13,7986.9130000000005
STORE093,15,79650.87,5310.058
STORE210,14,78688.61,5620.615
STORE186,10,78663.94,7866.394
STORE151,23,78434.87,3410.2117391304346
STORE135,14,78118.99,5579.927857142858
STORE139,13,77643.79,5972.59923076923
STORE236,16,77510.01,4844.375625
STORE203,13,77369.03,5951.463846153846
STORE004,10,77249.20999999999,7724.920999999999
STORE153,15,77163.1,5144.206666666667
STORE233,14,76858.28,5489.877142857143
STORE182,11,76123.05,6920.277272727273
STORE167,10,75750.78,7575.0779999999995
STORE134,12,75691.17,6307.5975
STORE058,24,74581.1,3107.5458333333336
STORE094,6,74510.5,12418.416666666666
STORE105,22,74445.76,3383.8981818181815
STORE202,14,74187.84,5299.131428571428
STORE085,17,73992.44,4352.496470588236
STORE227,12,73505.06,6125.421666666666
STORE064,10,73282.88,7328.2880000000005
STORE238,10,72840.41,7284.041
STORE224,17,72267.21,4251.012352941177
STORE147,14,70279.96,5019.997142857143
STORE152,21,69881.84,3327.7066666666665
STORE096,14,69251.88,4946.562857142858
STORE212,13,68318.08,5255.236923076924
STORE250,11,68210.05,6200.913636363636
STORE220,13,67327.65,5179.049999999999
STORE164,11,66954.42,6086.765454545454
STORE237,8,65906.9,8238.3625
STORE141,11,65874.13,5988.557272727273
STORE074,19,65564.52,3450.764210526316
STORE154,14,65220.72,4658.622857142857
STORE200,12,64647.51000000001,5387.2925000000005
STORE161,11,64181.79,5834.708181818182
STORE157,15,63468.11,4231.207333333334
STORE081,15,63405.509999999995,4227.034
STORE104,11,62726.75,5702.431818181818
STORE082,5,62513.259999999995,12502.651999999998
STORE098,11,62329.08,5666.28
STORE112,17,62168.159999999996,3656.9505882352937
STORE125,15,61545.7,4103.046666666666
STORE148,20,60953.24,3047.662
STORE199,11,60674.82,5515.892727272727
STORE160,11,59914.99,5446.817272727272
STORE192,12,59509.55,4959.129166666667
STORE198,15,59316.54,3954.436
STORE168,11,59115.06999999999,5374.097272727272
STORE231,14,58816.81,4201.200714285714
STORE166,29,58412.61,2014.2279310344827
STORE241,16,58373.8,3648.3625
STORE176,13,58362.4,4489.415384615385
STORE225,8,56918.65,7114.83125
STORE172,9,56403.19,6267.021111111111
STORE175,6,56277.21,9379.535
STORE019,9,55647.6,6183.066666666667
STORE243,18,54641.26,3035.625555555556
STORE159,15,54358.88,3623.925333333333
STORE007,11,53929.89,4902.717272727273
STORE234,11,53285.47,4844.1336363636365
STORE190,15,52750.73,3516.7153333333335
STORE185,16,52643.49,3290.218125
STORE038,17,51981.829999999994,3057.7547058823525
STORE005,13,51915.87,3993.5284615384617
STORE056,13,51556.479999999996,3965.8830769230767
STORE113,18,51364.799999999996,2853.6
STORE211,9,51118.91,5679.878888888889
STORE103,12,50954.66,4246.221666666667
STORE119,14,50851.46000000001,3632.2471428571434
STORE069,11,47444.65,4313.150000000001
STORE067,11,47321.32,4301.938181818182
STORE178,9,47114.31,5234.923333333333
STORE222,9,46669.759999999995,5185.528888888888
STORE144,23,46642.02,2027.913913043478
STORE009,14,46469.600000000006,3319.257142857143
STORE169,5,46370.24,9274.047999999999
STORE036,14,45876.39,3276.8849999999998
STORE054,22,45653.31,2075.1504545454545
STORE035,8,45138.549999999996,5642.318749999999
STORE001,14,45116.53,3222.6092857142858
STORE127,17,43503.520000000004,2559.0305882352945
STORE107,12,42348.85,3529.070833333333
STORE028,11,42210.99999999999,3837.3636363636356
STORE174,16,41416.84,2588.5525
STORE137,16,40135.759999999995,2508.4849999999997
STORE072,15,39578.12,2638.5413333333336
STORE206,10,39569.28,3956.928
STORE027,16,37556.05,2347.253125
STORE242,12,37122.87,3093.5725
STORE132,12,36217.78,3018.148333333333
STORE247,7,35865.78,5123.682857142857
STORE229,6,34659.11,5776.518333333333
STORE051,9,34467.06,3829.673333333333
STORE068,10,34412.87,3441.2870000000003
STORE183,13,32540.329999999998,2503.1023076923075
STORE006,12,30414.38,2534.5316666666668
STORE014,9,29040.579999999998,3226.7311111111107
STORE138,8,28751.68,3593.96
STORE123,10,28729.79,2872.9790000000003
STORE246,12,28557.6,2379.7999999999997
STORE008,9,28539.99,3171.11
STORE050,9,27992.16,3110.24
STORE095,10,24821.11,2482.111
STORE197,12,24588.57,2049.0475
STORE162,11,23852.57,2168.4154545454544
STORE120,8,23219.059999999998,2902.3824999999997
STORE106,5,21060.559999999998,4212.111999999999
STORE187,10,17708.510000000002,1770.851
STORE111,15,9565.449999999999,637.6966666666666
STORE042,5,4383.64,876.7280000000001
STORE015,6,0.0,0.0
STORE214,6,0.0,0.0
